,,"Total","Automation","%",,,,,,,,,
,"Advanced",0,0,"#DIV/0!",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,"Week","Total Bugs","Low Bugs","Total Bugs - Low","Fixed Bugs","In testing Bugs","Fixed + In testing","Rate of closure"
,,"Total",482,,,"6/10-6/14",,,,,,,
,,"Non cover",199,,,"6/15-6/21",,,,,,,
,,"Remainder",283,,,"6/22-6/28",,,,,,,
,,"Automation",0,,,"6/29-7/5",,,,,,,
,,,0,,,"7/6-7/12",,,,,,,
,,,,,,"7/13-7/19",,,,,,,
,,,,,,"7/20-7/26",,,,,,,
,,,,,,"7/27-8/2",,,,,,,
,,,,,,"8/3-8/9",,,,,,,83.75%
,,,,,,"8/10-8/16",,,,,,,
,,"Self Diag",0,,,,0,0,0,0,0,0,
,,"IGMP",0,,,,,,,,,,
,,"TR-069",0,,,"Total In testing bugs",116,,,,,,
,,"HURL",0,,,,,,,,,,
,,"Low",56,,,,,,,,,,
,,"Total",56,,,"Open Bugs (excluding Low)",0,,,,,,
,,,,,,,,,,,,,
,,"ID"," ","Title","Added","Status","Last modified","Firmware",,"E19:E394",,,
,,13372," ","VZ VTP Defect ID (86) - Truncated Response to GPV on Layer3Forwarding",11/18/2008,"Fixed",7/6/2009,"20.9.10",,,,,
,,14172," ","(20.8.15) Self-diag - REBOOT counter doesn't work properly",2/23/2009,"In testing",6/9/2009,"20.9.10",,,,,
,,14554,"High","BHR2 CWANMOCA_RATE Corrective action did not work properly",3/25/2009,"Fixed",7/30/2009,"20.9.10",,,,,
,,14904," ","GUI: Main & My Network pages show Static client as 'Active' after it has been unplugged",4/21/2009,"In testing",6/9/2009,"20.9.10",,,,,
,,14986," ","Defect ID 380 - Replace Wireless Channel '0' with Automatic channel selection",5/1/2009,"In testing",6/11/2009,"20.9.10",,,,,
,,15258,"Critical","Advanced Automation--Kernel Panic: upgrade firmware and then restore default",6/10/2009,"Fixed",6/24/2009,"20.9.10",,,,,
,,15281,"High","Kernel Panic happened when restoredefault",6/10/2009,"Fixed",7/30/2009,"20.9.10",,,,,
,,15283,"Low","Parental Control Automation--shall disable user input keyword while blocking all internet access",6/10/2009,"Open",8/7/2009,"20.9.10",,,,,
,,15338,"Low","GUI-Port forwarding: Values don't reset to default after applying a rule",6/12/2009,"Open",8/6/2009,"20.9.10",,,,,
,,15483,"High","Kernel Panic: put ath1 into bridge and put ath0 out of bridge",6/24/2009,"Fixed",8/6/2009,"20.9.10",,,,,
,,15485,"Critical","Fatal Error: upgrade firmware issue",6/24/2009,"In testing",7/27/2009,"20.9.10",,,,,
,,,,,,,,,,,,,
,,13578," ","Self-Diagnostic - DUT execute test once during bootup in immediate mode",12/15/2008,"In testing",6/26/2009,"20.9.11",,,,,
,,14878," ","GUI: Main & My Network pages show wireless client as 'Active' even after it has been disconnected",4/20/2009,"In testing",6/11/2009,"20.9.11",,,,,
,,15156,"High","Verizon Defect ID 96 - ConnectRequestURL Issues",5/26/2009,"In testing",6/11/2009,"20.9.11",,,,,
,,15257,"High","Self Diag --Self Diag Model lost in some case",6/10/2009,"Fixed",7/30/2009,"20.9.11",,,,,
,,15260," ","GUI-Port forwarding: 'Customs Ports' should be 'Custom Ports'",6/10/2009,"Fixed",7/28/2009,"20.9.11",,,,,
,,15270,"Critical","Parent Control - modify one client to Block_All, BHR blocks all the clients",6/10/2009,"Fixed",6/17/2009,"20.9.11",,,,,
,,15273,"Critical","Restore_Default works as Reboot",6/10/2009,"Fixed",6/15/2009,"20.9.11",,,,,
,,15282,"Critical","Advance Automation--Kernel Panic:Load old version's Config file",6/10/2009,"Fixed",6/26/2009,"20.9.11",,,,,
,,15285,"Critical","Advanced Automation--Kernel Panic: when upload invalid config file",6/10/2009,"Fixed",6/15/2009,"20.9.11",,,,,
,,15314,"High","Parental control automation--rule block one website and one keyword will blocked others",6/11/2009,"In testing",6/12/2009,"20.9.11",,,,,
,,15347," ","Wireless--Set to 802.11/b only,wireless client can still using g mode to connec to AP",6/14/2009,"Fixed",7/2/2009,"20.9.11",,,,,
,,15383," ","The DHCP server of Home network doesn't work when Bridge mode with lan ethernet and Broadcast ethernet and lan coax and wirless AP.",6/16/2009,"In testing",6/26/2009,"20.9.11",,,,,
,,15391,"Low","GUI doesn't refresh sometimes when set static WAN IP -- cause automation failure",6/16/2009,"Open",8/6/2009,"20.9.11",,,,,
,,15398," ","The static route of Broadband Connection (Ethernet) doestn't work when Both of BHR and another router (windows 2003 server) are set static route to each other.",6/17/2009,"In testing",8/7/2009,"20.9.11",,,,,
,,15415," ","'Allow Incoming WAN Access to the Telnet Server' and 'Local Administration' of GUI needn't display to allow privilege for Limited users.",6/18/2009,"In testing",6/24/2009,"20.9.11",,,,,
,,,,,,,,,,,,,
,,13471,"Critical","Memory low after QACafe GPV root stress test",11/28/2008,"Fixed",8/6/2009,"20.9.12",,,,,
,,13851," ","TR069-Not able to set WANIPConnection.{i}.ConnectionType",1/29/2009,"In testing",6/17/2009,"20.9.12",,,,,
,,14956," ","Self Diag system log can not synchronize with config file",4/28/2009,"Fixed",8/6/2009,"20.9.12",,,,,
,,15250," ","GUI Spelling mistake: intialized should be initialized",6/10/2009,"Fixed",6/24/2009,"20.9.12",,,,,
,,15284," ","IGMP lost default value and pop-up message shows error",6/10/2009,"Fixed",8/7/2009,"20.9.12",,,,,
,,15286,"Critical","Parental control automation--Kernel Panic: when add 88 websites rule",6/11/2009,"Fixed",6/26/2009,"20.9.12",,,,,
,,15287,"Critical","Parental control automation--Kernel Panic: when add 45 keywords rule",6/11/2009,"Fixed",6/26/2009,"20.9.12",,,,,
,,15288,"High","Parental control automation--when add 44 websites rule",6/11/2009,"Fixed",6/26/2009,"20.9.12",,,,,
,,15335,"High","GUI-Port forwarding: Overlapping ports error always applies first port specified only after confirming error.",6/12/2009,"In testing",6/15/2009,"20.9.12",,,,,
,,15339," ","GUI-Port forwarding input errors: 'os' should be 'so'",6/12/2009,"Fixed",8/11/2009,"20.9.12",,,,,
,,15346," ","Wireless--Changing channel has no effection",6/14/2009,"Fixed",7/2/2009,"20.9.12",,,,,
,,15364,"High","Kernel panic when surfing GUI after boot up",6/15/2009,"Fixed",6/26/2009,"20.9.12",,,,,
,,15374,"High","My Network Automation--kernel panic happened when select obtain an IP address automatically",6/15/2009,"Fixed",6/26/2009,"20.9.12",,,,,
,,15428," ","cwmp status disabled after restore default",6/19/2009,"Fixed",7/8/2009,"20.9.12",,,,,
,,15445," ","The duplication of PC icons are in the network of GUI after update firmware20.9.11 to 20.9.12",6/21/2009,"In testing",8/10/2009,"20.9.12",,,,,
,,15482," ","After DHCP status of client is expired, client can't renew IP address.",6/23/2009,"In testing",7/14/2009,"20.9.12",,,,,
,,15520," ","Advanced Automation--wildcard doesn't work in BHR2 DDNS module",6/24/2009,"In testing",8/7/2009,"20.9.12",,,,,
,,15528,"Low","Unresolved IP Uses Wrong Color Scheme",6/26/2009,"Open",8/6/2009,"20.9.12",,,,,
,,,,,,,,,,,,,
,,14503," ","Self-diag - agent can not start if boot up without NTP sync",3/20/2009,"Fixed",7/22/2009,"20.9.13",,,,,
,,15471,"High","Kernel Panic: remove ath0 and ath1 wireless interfaces and then click 'Wireless Settings' on GUI",6/23/2009,"Fixed",6/26/2009,"20.9.13",,,,,
